2026-03-19 18:08:10,815 | modules.data_loader  | INFO  |   ETH/USDT 5m — 331000 bougies téléchargées (→ 2024-02-24)
2026-03-19 18:08:13,500 | modules.data_loader  | INFO  |   ETH/USDT 5m — 340000 bougies téléchargées (→ 2024-03-26)
2026-03-19 18:08:13,756 | modules.data_loader  | INFO  |   ETH/USDT 5m — 341000 bougies téléchargées (→ 2024-03-30)
2026-03-19 18:08:16,576 | modules.data_loader  | INFO  |   ETH/USDT 5m — 350000 bougies téléchargées (→ 2024-04-30)
2026-03-19 18:08:16,838 | modules.data_loader  | INFO  |   ETH/USDT 5m — 351000 bougies téléchargées (→ 2024-05-03)
2026-03-19 18:08:20,215 | modules.data_loader  | INFO  |   ETH/USDT 5m — 360000 bougies téléchargées (→ 2024-06-03)
2026-03-19 18:08:20,479 | modules.data_loader  | INFO  |   ETH/USDT 5m — 361000 bougies téléchargées (→ 2024-06-07)
2026-03-19 18:08:23,985 | modules.data_loader  | INFO  |   ETH/USDT 5m — 370000 bougies téléchargées (→ 2024-07-08)
2026-03-19 18:08:24,317 | modules.data_loader  | INFO  |   ETH/USDT 5m — 371000 bougies téléchargées (→ 2024-07-12)
2026-03-19 18:08:27,396 | modules.data_loader  | INFO  |   ETH/USDT 5m — 380000 bougies téléchargées (→ 2024-08-12)
2026-03-19 18:08:27,876 | modules.data_loader  | INFO  |   ETH/USDT 5m — 381000 bougies téléchargées (→ 2024-08-15)
2026-03-19 18:08:30,243 | modules.data_loader  | INFO  |   ETH/USDT 5m — 390000 bougies téléchargées (→ 2024-09-16)
2026-03-19 18:08:30,505 | modules.data_loader  | INFO  |   ETH/USDT 5m — 391000 bougies téléchargées (→ 2024-09-19)
2026-03-19 18:08:33,090 | modules.data_loader  | INFO  |   ETH/USDT 5m — 400000 bougies téléchargées (→ 2024-10-20)
2026-03-19 18:08:33,356 | modules.data_loader  | INFO  |   ETH/USDT 5m — 401000 bougies téléchargées (→ 2024-10-24)
2026-03-19 18:08:36,020 | modules.data_loader  | INFO  |   ETH/USDT 5m — 410000 bougies téléchargées (→ 2024-11-24)
2026-03-19 18:08:36,315 | modules.data_loader  | INFO  |   ETH/USDT 5m — 411000 bougies téléchargées (→ 2024-11-28)
2026-03-19 18:08:38,856 | modules.data_loader  | INFO  |   ETH/USDT 5m — 420000 bougies téléchargées (→ 2024-12-29)
2026-03-19 18:08:39,610 | modules.data_loader  | INFO  |   ETH/USDT 5m — 421000 bougies téléchargées (→ 2025-01-01)
2026-03-19 18:08:39,787 | modules.data_loader  | INFO  | Sauvegardé: ETH_USDT_5m_ohlcv.parquet — 420769 bougies
2026-03-19 18:08:39,806 | modules.data_loader  | INFO  |   Après nettoyage: 420769 bougies
2026-03-19 18:08:39,823 | modules.data_loader  | INFO  |   Resample 5m → 1h
2026-03-19 18:08:39,839 | modules.data_loader  | INFO  |   ETH/USDT 1h: 35065 bougies
2026-03-19 18:08:39,839 | modules.data_loader  | INFO  |   Resample 5m → 4h
2026-03-19 18:08:39,850 | modules.data_loader  | INFO  |   ETH/USDT 4h: 8767 bougies
2026-03-19 18:08:39,850 | modules.data_loader  | INFO  |   ETH/USDT complet — 5m:420769 | 1h:35065 | 4h:8767
2026-03-19 18:08:39,850 | modules.data_loader  | INFO  | ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
2026-03-19 18:08:39,850 | modules.data_loader  | INFO  | Chargement SOL/USDT
2026-03-19 18:08:39,850 | modules.data_loader  | INFO  | ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
